,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,School,G,W,L,W-L%,SRS,SOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
,145,Little Rock,31,10,21,0.323,-4.87,-2.07,1250,817,1687,0.484,206,582,0.354,461,703,0.656,244,1060,443,169,87,503,622
,146,Long Beach State,34,15,19,0.441,-4.57,-0.44,1375,877,2031,0.432,217,630,0.344,574,831,0.691,377,1263,399,219,105,479,620
,147,Long Island University,32,16,16,0.500,-8.99,-9.08,1285,822,1880,0.437,277,813,0.341,452,643,0.703,321,1196,430,218,157,471,610
,148,Longwood,34,16,18,0.471,-8.43,-6.62,1375,803,1875,0.428,333,939,0.355,468,639,0.732,284,1194,401,210,71,477,624
,149,Louisiana,32,19,13,0.594,-2.07,-1.51,1290,901,2026,0.445,283,821,0.345,527,710,0.742,364,1142,487,226,125,423,612
,150,Louisiana State NCAA,35,28,7,0.800,16.50,9.16,1435,988,2162,0.457,236,740,0.319,603,802,0.752,460,1355,452,308,148,452,634
,151,Louisiana Tech,33,20,13,0.606,0.95,-2.31,1335,840,1928,0.436,253,756,0.335,453,690,0.657,368,1204,440,190,115,386,535
,152,Louisiana-Monroe,35,19,16,0.543,0.81,-1.96,1425,922,2029,0.454,353,891,0.396,576,737,0.782,317,1176,498,206,78,398,545
,153,Louisville NCAA,34,20,14,0.588,17.28,11.04,1380,854,1967,0.434,294,860,0.342,534,687,0.777,345,1297,458,149,99,412,591
,154,Loyola (IL),34,20,14,0.588,3.99,-0.16,1360,831,1687,0.493,206,563,0.366,363,545,0.666,190,1013,468,220,78,407,471
,155,Loyola (MD),32,11,21,0.344,-9.13,-4.60,1295,842,1836,0.459,210,616,0.341,438,617,0.710,292,997,448,278,73,444,573
,156,Loyola Marymount,34,22,12,0.647,2.93,0.90,1360,817,1800,0.454,163,510,0.320,481,645,0.746,314,1098,460,250,102,425,602
,157,Maine,32,5,27,0.156,-15.11,-4.21,1310,747,1728,0.432,201,647,0.311,293,452,0.648,280,1015,471,239,94,460,566
,158,Manhattan,32,11,21,0.344,-12.89,-7.32,1285,651,1608,0.405,219,661,0.331,312,534,0.584,326,1026,360,221,78,487,672
,159,Marist,31,12,19,0.387,-9.49,-7.53,1250,739,1647,0.449,245,675,0.363,363,530,0.685,241,967,377,172,53,387,583
,160,Marquette NCAA,34,24,10,0.706,14.78,6.96,1375,893,1969,0.454,319,822,0.388,524,692,0.757,331,1292,456,168,145,467,635
,161,Marshall,37,23,14,0.622,-0.64,-0.61,1495,1047,2367,0.442,362,1058,0.342,522,723,0.722,319,1260,527,334,170,453,664
,162,Maryland NCAA,34,23,11,0.676,16.01,10.09,1360,858,1909,0.449,247,707,0.349,466,627,0.743,378,1336,447,148,163,437,526
,163,Maryland-Baltimore County,34,21,13,0.618,-5.85,-5.85,1400,820,1893,0.433,261,807,0.323,395,573,0.689,296,1145,453,268,83,428,578
