,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,School,G,W,L,W-L%,SRS,SOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
,256,Saint Peter's,32,10,22,0.313,-12.15,-6.40,1305,707,1639,0.431,184,567,0.325,414,570,0.726,293,1032,301,172,177,488,614
,257,Sam Houston State,33,21,12,0.636,-3.17,-5.84,1345,889,2011,0.442,308,840,0.367,390,518,0.753,369,1191,555,242,94,413,659
,258,Samford,33,17,16,0.515,0.69,-2.03,1355,921,1951,0.472,254,687,0.370,487,666,0.731,316,1225,461,238,127,463,560
,259,San Diego,36,21,15,0.583,6.12,3.61,1460,914,2002,0.457,284,808,0.351,479,641,0.747,290,1238,516,204,112,466,667
,260,San Diego State,34,21,13,0.618,5.29,2.47,1360,845,1940,0.436,261,721,0.362,486,679,0.716,346,1228,487,197,113,424,638
,261,San Francisco,31,21,10,0.677,8.56,1.13,1250,864,1851,0.467,258,727,0.355,372,568,0.655,340,1138,439,188,105,321,543
,262,San Jose State,31,4,27,0.129,-16.37,0.59,1250,713,1765,0.404,210,641,0.328,406,620,0.655,323,1130,423,131,52,484,539
,263,Santa Clara,31,16,15,0.516,-1.91,0.92,1255,735,1653,0.445,239,663,0.360,406,567,0.716,242,1026,416,146,111,433,597
,264,Savannah State,31,11,20,0.355,-20.51,-9.04,1245,825,2080,0.397,351,1199,0.293,359,531,0.676,383,1188,462,234,96,478,564
,265,Seattle,33,18,15,0.545,-1.47,-3.85,1330,852,1945,0.438,238,642,0.371,478,668,0.716,336,1221,386,141,118,403,657
,266,Seton Hall NCAA,34,20,14,0.588,10.25,8.34,1375,888,2021,0.439,240,741,0.324,492,697,0.706,361,1213,459,235,132,423,638
,267,Siena,33,17,16,0.515,-7.90,-6.47,1345,772,1779,0.434,288,849,0.339,299,440,0.680,248,973,415,190,93,321,462
,268,South Alabama,34,17,17,0.500,-4.46,-2.71,1375,867,1883,0.460,285,761,0.375,459,669,0.686,288,1094,471,201,141,456,649
,269,South Carolina,32,16,16,0.500,8.34,9.63,1285,806,1907,0.423,242,662,0.366,473,694,0.682,383,1160,413,202,140,433,623
,270,South Carolina State,34,8,26,0.235,-16.86,-8.30,1375,811,1891,0.429,193,582,0.332,573,772,0.742,376,1137,386,167,60,493,670
,271,South Carolina Upstate,32,6,26,0.188,-15.30,-4.27,1290,775,1872,0.414,269,817,0.329,350,492,0.711,305,1051,434,207,94,440,621
,272,South Dakota,30,13,17,0.433,-5.52,-3.06,1205,729,1664,0.438,227,666,0.341,433,585,0.740,219,942,382,165,68,324,527
,273,South Dakota State,33,24,9,0.727,5.92,-4.74,1320,984,1965,0.501,327,802,0.408,494,635,0.778,251,1259,489,202,65,388,557
,274,South Florida,38,24,14,0.632,5.96,1.69,1555,911,2120,0.430,272,819,0.332,658,1018,0.646,496,1483,521,306,124,604,790
,275,Southeast Missouri State,31,10,21,0.323,-11.32,-4.39,1265,796,1809,0.440,266,719,0.370,358,519,0.690,284,1081,402,182,75,447,615
,276,Southeastern Louisiana,33,17,16,0.515,-7.59,-6.30,1320,765,1735,0.441,235,696,0.338,459,640,0.717,346,1117,452,215,80,536,602
,277,Southern,32,7,25,0.219,-16.79,-7.37,1285,752,1710,0.440,180,544,0.331,393,588,0.668,313,980,372,216,86,511,716
,278,Southern California,33,16,17,0.485,8.23,4.96,1340,937,2039,0.460,281,735,0.382,363,563,0.645,324,1188,536,202,117,392,590
,279,Southern Illinois,32,17,15,0.531,1.39,-0.17,1280,802,1720,0.466,213,570,0.374,377,550,0.685,289,1081,438,212,129,447,474
,280,SIU Edwardsville,31,10,21,0.323,-14.47,-5.06,1280,794,1898,0.418,201,665,0.302,476,677,0.703,351,1079,382,198,70,438,612
,281,Southern Methodist,32,15,17,0.469,5.81,4.12,1280,833,1884,0.442,263,772,0.341,374,523,0.715,365,1135,441,189,123,350,515
,282,Southern Mississippi,33,20,13,0.606,2.58,-0.83,1330,899,1929,0.466,275,712,0.386,321,489,0.656,274,1178,553,253,110,345,507
,283,Southern Utah,34,17,17,0.500,-8.91,-6.22,1380,881,1997,0.441,272,799,0.340,539,757,0.712,282,1250,426,199,114,466,696
,284,St. Bonaventure,34,18,16,0.529,3.34,0.25,1385,821,1914,0.429,208,635,0.328,400,539,0.742,333,1183,417,199,164,421,553
,285,St. Francis (NY),33,17,16,0.515,-10.19,-8.45,1325,841,1989,0.423,270,806,0.335,393,580,0.678,346,1191,387,194,136,413,635
,286,St. John's (NY) NCAA,34,21,13,0.618,7.88,5.50,1375,944,2100,0.450,289,809,0.357,446,620,0.719,264,1120,472,302,111,357,650
,287,Stanford,31,15,16,0.484,6.03,5.13,1245,808,1783,0.453,207,653,0.317,432,643,0.672,322,1147,392,186,147,467,586
,288,Stephen F. Austin,30,14,16,0.467,-10.99,-5.92,1210,745,1696,0.439,201,588,0.342,414,607,0.682,313,1008,348,192,113,442,579
,289,Stetson,31,7,24,0.226,-15.01,-3.46,1245,794,1962,0.405,215,684,0.314,348,503,0.692,359,1110,418,210,94,394,536
,290,Stony Brook,33,24,9,0.727,-2.10,-6.48,1335,815,1937,0.421,233,715,0.326,501,695,0.721,410,1348,372,209,142,478,631
,291,Syracuse NCAA,34,20,14,0.588,13.73,10.09,1365,808,1907,0.424,274,824,0.333,480,701,0.685,363,1174,408,278,162,423,588
,292,TCU,37,23,14,0.622,13.81,9.60,1500,990,2168,0.457,281,813,0.346,469,688,0.682,395,1347,598,255,162,499,586
,293,Temple NCAA,33,23,10,0.697,8.17,4.93,1340,873,1998,0.437,247,748,0.330,472,649,0.727,316,1136,476,284,73,368,581
,294,Tennessee NCAA,37,31,6,0.838,21.55,10.16,1505,1106,2231,0.496,262,714,0.367,561,744,0.754,379,1391,660,221,199,412,654
,295,Tennessee State,30,9,21,0.300,-11.62,-3.15,1210,751,1739,0.432,240,716,0.335,440,628,0.701,317,1032,342,219,78,497,735
,296,Tennessee Tech,31,8,23,0.258,-14.76,-3.00,1250,742,1784,0.416,213,620,0.344,407,645,0.631,330,1122,389,226,134,517,554
,297,Tennessee-Martin,31,12,19,0.387,-10.94,-4.32,1250,854,1915,0.446,250,726,0.344,398,528,0.754,351,1062,441,223,88,418,490
,298,Texas,37,21,16,0.568,16.06,11.46,1495,929,2146,0.433,325,934,0.348,445,637,0.699,358,1264,486,227,152,401,627
,299,Texas A&M,32,14,18,0.438,7.21,8.59,1280,806,1842,0.438,204,663,0.308,437,631,0.693,372,1195,376,215,142,444,521
,300,Texas A&M-Corpus Christi,32,14,18,0.438,-9.11,-5.68,1290,774,1803,0.429,202,621,0.325,376,541,0.695,349,1158,423,197,90,456,610
,301,Texas Southern,38,24,14,0.632,-5.55,-6.99,1550,1083,2379,0.455,276,852,0.324,660,988,0.668,467,1503,591,309,114,589,679
,302,Texas State,34,24,10,0.706,1.54,-3.00,1370,876,1971,0.444,244,744,0.328,474,694,0.683,409,1291,493,234,84,455,667
,303,Texas Tech NCAA,38,31,7,0.816,22.79,9.53,1530,990,2110,0.469,277,759,0.365,508,694,0.732,315,1297,518,278,186,457,663
,304,Texas-Rio Grande Valley,37,20,17,0.541,-2.04,-1.61,1490,895,2139,0.418,203,636,0.319,641,923,0.694,358,1215,503,345,105,471,763
,305,The Citadel,30,12,18,0.400,-7.94,0.03,1210,899,2011,0.447,370,1076,0.344,385,523,0.736,322,1107,462,201,110,386,528
,306,Toledo,33,25,8,0.758,8.21,0.71,1330,901,1990,0.453,325,859,0.378,410,531,0.772,327,1281,538,170,152,402,517
,307,Towson,32,10,22,0.313,-8.44,-3.57,1310,810,1860,0.435,180,550,0.327,370,532,0.695,389,1184,319,154,94,390,561
,308,Troy,30,12,18,0.400,-6.12,-1.01,1210,773,1719,0.450,236,704,0.335,397,550,0.722,277,1021,392,171,135,408,523
,309,Tulane,31,4,27,0.129,-6.72,3.63,1240,733,1783,0.411,213,670,0.318,403,585,0.689,298,1131,444,147,109,467,535
,310,Tulsa,32,18,14,0.563,4.65,3.86,1290,776,1732,0.448,222,652,0.340,522,751,0.695,239,1119,430,176,76,404,529
,311,UAB,35,20,15,0.571,0.36,-1.52,1410,906,2003,0.452,234,694,0.337,424,630,0.673,367,1279,401,218,82,399,578
,312,UC Davis,31,11,20,0.355,-6.26,-1.50,1260,735,1673,0.439,203,619,0.328,365,515,0.709,218,929,375,196,71,412,596
,313,UC Irvine NCAA,37,31,6,0.838,5.70,-2.30,1500,987,2159,0.457,252,701,0.359,449,640,0.702,429,1471,479,210,153,441,673
,314,UC Riverside,33,10,23,0.303,-11.12,-3.19,1325,792,1787,0.443,279,743,0.376,290,424,0.684,286,1051,425,164,60,425,562
,315,UC Santa Barbara,32,22,10,0.688,-1.62,-5.55,1290,825,1819,0.454,204,594,0.343,496,693,0.716,379,1204,431,159,106,355,558
,316,UCLA,33,17,16,0.515,7.17,6.78,1335,919,2012,0.457,256,721,0.355,486,768,0.633,380,1361,472,194,136,467,563
,317,UNC Asheville,31,4,27,0.129,-19.81,-2.35,1245,655,1627,0.403,223,687,0.325,324,437,0.741,298,931,331,196,86,456,533
,318,UNC Greensboro,36,29,7,0.806,4.08,-0.90,1445,997,2184,0.457,280,818,0.342,464,666,0.697,399,1251,453,315,140,423,631
,319,UNC Wilmington,33,10,23,0.303,-8.10,-2.04,1335,880,1986,0.443,260,744,0.349,493,673,0.733,387,1221,495,150,68,436,585
,320,UT Arlington,33,17,16,0.515,-0.50,0.84,1345,781,1908,0.409,234,773,0.303,488,659,0.741,372,1235,421,211,97,467,630
,321,Utah,31,17,14,0.548,6.13,5.10,1245,805,1735,0.464,298,806,0.370,435,616,0.706,317,1096,440,144,80,409,548
,322,Utah State NCAA,35,28,7,0.800,11.98,0.89,1410,959,2038,0.471,274,772,0.355,559,747,0.748,377,1405,598,215,147,449,649
,323,Utah Valley,35,25,10,0.714,3.00,-2.30,1400,930,1929,0.482,283,740,0.382,554,764,0.725,318,1271,484,201,89,487,612
,324,UTEP,29,8,21,0.276,-8.23,-1.71,1170,639,1592,0.401,199,620,0.321,382,578,0.661,285,1070,307,135,84,466,551
,325,UTSA,32,17,15,0.531,0.69,0.05,1295,896,2068,0.433,294,855,0.344,395,536,0.737,323,1216,420,213,82,402,581
,326,Valparaiso,33,15,18,0.455,-3.38,-1.00,1335,802,1783,0.450,185,585,0.316,416,595,0.699,294,1115,431,202,101,439,546
,327,Vanderbilt,32,9,23,0.281,3.57,7.79,1285,736,1750,0.421,230,739,0.311,478,710,0.673,325,1139,371,154,126,454,568
,328,Vermont NCAA,34,27,7,0.794,4.88,-4.18,1370,864,1887,0.458,273,761,0.359,507,678,0.748,304,1194,399,188,136,377,568
,329,Villanova NCAA,36,26,10,0.722,14.33,7.97,1455,884,2019,0.438,380,1081,0.352,506,695,0.728,368,1253,503,194,106,388,580
,330,Virginia NCAA,38,35,3,0.921,25.46,10.15,1535,974,2056,0.474,321,813,0.395,445,598,0.744,342,1326,544,211,149,342,542
,331,Virginia Commonwealth NCAA,33,25,8,0.758,11.96,2.87,1330,820,1872,0.438,235,771,0.305,469,669,0.701,358,1208,450,263,148,458,650
,332,VMI,32,11,21,0.344,-10.50,0.09,1290,843,1974,0.427,323,899,0.359,424,581,0.730,280,1110,442,217,61,390,541
,333,Virginia Tech NCAA,35,26,9,0.743,19.28,7.79,1410,893,1900,0.470,327,831,0.394,461,606,0.761,310,1142,531,236,78,392,532
,334,Wagner,30,13,17,0.433,-12.99,-7.63,1205,655,1696,0.386,236,773,0.305,428,575,0.744,378,1095,351,184,108,414,639
,335,Wake Forest,31,11,20,0.355,1.21,8.47,1250,714,1812,0.394,197,640,0.308,494,681,0.725,399,1174,329,150,77,417,555
,336,Washington NCAA,36,27,9,0.750,12.01,7.01,1445,883,1956,0.451,273,780,0.350,472,679,0.695,334,1129,419,323,206,479,653
,337,Washington State,32,11,21,0.344,-1.67,2.20,1280,833,1861,0.448,301,828,0.364,426,564,0.755,276,1076,478,169,89,440,554
,338,Weber State,33,18,15,0.545,-4.37,-6.12,1330,920,1934,0.476,249,684,0.364,528,708,0.746,220,1177,383,179,140,382,609
,339,West Virginia,36,15,21,0.417,6.94,10.57,1460,901,2181,0.413,269,852,0.316,584,849,0.688,519,1425,488,223,126,557,707
,340,Western Carolina,32,7,25,0.219,-9.28,0.34,1295,792,1744,0.454,296,800,0.370,424,628,0.675,303,1135,389,135,53,577,671
,341,Western Illinois,31,10,21,0.323,-10.04,-5.18,1245,818,1860,0.440,241,626,0.385,321,440,0.730,254,1100,319,165,132,353,487
,342,Western Kentucky,34,20,14,0.588,3.14,0.96,1380,853,1910,0.447,199,608,0.327,524,724,0.724,338,1256,417,235,174,466,528
,343,Western Michigan,32,8,24,0.250,-6.26,1.48,1300,774,1822,0.425,228,723,0.315,470,680,0.691,345,1197,374,147,78,490,564
,344,Wichita State,37,22,15,0.595,7.72,5.91,1485,929,2277,0.408,276,890,0.310,475,655,0.725,452,1417,499,174,135,446,705
,345,William & Mary,31,14,17,0.452,-4.78,-2.08,1265,841,1773,0.474,254,735,0.346,385,576,0.668,251,1057,529,158,146,390,516
,346,Winthrop,30,18,12,0.600,-2.89,-3.74,1210,855,1878,0.455,372,997,0.373,417,565,0.738,330,1232,460,134,83,456,535
,347,Wisconsin NCAA,34,23,11,0.676,17.90,11.01,1385,874,1945,0.449,241,672,0.359,344,531,0.648,283,1197,430,177,140,327,511
,348,Wofford NCAA,35,30,5,0.857,13.92,0.80,1410,1044,2132,0.490,385,929,0.414,406,577,0.704,365,1232,528,233,105,377,589
,349,Wright State,35,21,14,0.600,3.29,-0.89,1405,885,2028,0.436,281,818,0.344,510,692,0.737,382,1229,484,214,72,402,545
,350,Wyoming,32,8,24,0.250,-9.75,0.19,1285,690,1656,0.417,248,720,0.344,477,660,0.723,167,983,331,176,88,450,588
,351,Xavier,35,19,16,0.543,9.61,8.06,1420,922,1977,0.466,245,740,0.331,437,644,0.679,371,1281,519,190,128,450,550
,352,Yale NCAA,30,22,8,0.733,5.52,-1.24,1215,893,1812,0.493,230,634,0.363,411,557,0.738,259,1157,503,177,131,392,510
,353,Youngstown State,32,12,20,0.375,-7.78,-2.05,1305,879,2057,0.427,303,891,0.340,354,505,0.701,418,1207,449,210,115,423,656
